CHIP_MANUFACTURER:	MISTUBISHI
CHIP_MODEL	:	MIST-2000-IC.
CHIP_DIAMETER:200  # unit in mm.#
CHIP_ROWS:28
CHIP_COLUMNS:16
DIEPITCH: 6.3495000e+03 1.1509200e+04   # in micrometer ie 6.3495 mm & 11.5092 mm
DIEORIGIN: 0.0000000e+00 0.0000000e+00   # in um

DEFECT DATA:DEFECT No.,ROW,COLUMN,X_COORDINATE,Y_COORDINATE,DEFECTIMAGE

1278,25,6,6019600,7050900,23
1279,25,6,6050500,6024500,22
1280,26,6,371500,6514500,22
866,26,5,593400,2824100,24
1281,26,6,613600,30500,224
1691,26,9,940200,2161200,242
1692,26,9,1166500,2573900,22
867,26,5,1172200,5265300,225
1693,26,9,1175700,2373300,2276
868,26,5,1179600,5051600,227
870,26,5,1179700,5054100,2281
869,26,5,1179700,5044500,229
871,26,5,1179700,5063700,220
872,26,5,1179700,5070200,222
873,26,5,1179900,5076000,221
874,26,5,1669600,5170700,223
875,26,5,1734300,6782100,224
1694,26,9,1785100,5307900,225
2207,26,10,2126700,45500,226
1282,26,6,2135800,3507000,227
1695,26,9,2386900,4798500,228
2208,26,10,2453700,2866200,22
876,26,5,2562000,1667400,220
2209,26,10,2617200,2897600,212
877,26,5,2751400,1976900,222
1687,25,9,3383700,9128000,223
858,25,5,3420700,4759800,227
2196,25,10,3423700,7445400,242
2197,25,10,3436900,7418600,226
2198,25,10,3444400,7410200,22
2199,25,10,3447000,7400100,227
2200,25,10,3447900,7389600,22
2201,25,10,3448000,7394900,22
2202,25,10,3448500,7406400,228
2203,25,10,3455700,7377600,22
2204,25,10,3462400,7366500,229
2205,25,10,3462700,7351500,22
859,25,5,3485700,11134700,229
1688,25,9,3531600,611900,22
1276,25,6,3561100,2988200,22
860,25,5,3853800,7119000,22
861,25,5,3860400,7119000,22
2206,25,10,4005000,367100,222
862,25,5,4421500,5325200,22
1689,25,9,4558300,1878000,223
1690,25,9,4738300,9975800,22
863,25,5,4890700,1360200,225
864,25,5,5053300,7359200,224
1277,25,6,5152200,5996600,22
865,25,5,5230800,10740800,22
1269,25,6,2029300,9707900,22
854,25,5,2042100,5808200,22
855,25,5,2063700,5775800,227
1270,25,6,2085100,10374000,262
1271,25,6,2091600,10346900,22
856,25,5,2128000,11239200,22
1680,25,9,2147400,1813200,22
2189,25,10,2453800,4397900,22
2190,25,10,2462400,4374900,2892
1272,25,6,2525500,9465300,22
2191,25,10,2653800,3874800,22
857,25,5,2717400,1965900,229
2192,25,10,2744800,1564100,22
1681,25,9,2760000,2887700,22
1682,25,9,2760300,2881200,22
1683,25,9,2874100,6878300,220
1273,25,6,2899200,10324800,229
1274,25,6,2957200,10312500,229
1684,25,9,3013200,1404300,229
1275,25,6,3037600,9304500,229
1685,25,9,3121500,270500,229
2193,25,10,3214600,10807100,922
1686,25,9,3217000,10300100,222
2194,25,10,3232900,10780500,222
2195,25,10,3247500,10749600,222
850,24,5,4308900,5209700,222
1673,24,9,4348200,4594200,2223
2182,24,10,4579600,10116900,223
851,24,5,4816500,779000,223
1674,24,9,4824700,4920900,232
1263,24,6,4888200,7422800,223
1264,24,6,5181400,1469600,223
1265,24,6,5847000,2649000,223
1266,24,6,5862100,2636700,223
499,24,2,6004800,10894100,223
852,25,5,161500,2929400,223
2183,25,10,186700,8071400,232
2184,25,10,203700,10105500,232
2185,25,10,363000,10105400,223
2186,25,10,382800,1498200,223
1267,25,6,544900,10224500,223
1268,25,6,658800,3663200,223
2187,25,10,721000,5873000,224
1675,25,9,997300,2741300,224
1676,25,9,1274200,2843300,224
1677,25,9,1332000,10267800,224
1678,25,9,1594800,5356800,224
853,25,5,1598400,5801700,225
2188,25,10,1699200,5417300,252
1679,25,9,1816800,11274300,225
1667,24,9,2985400,6350100,225
840,24,5,2989000,2349500,225
841,24,5,3016200,2411900,225
1261,24,6,3035100,8713800,225
2175,24,10,3074700,10191000,252
842,24,5,3150300,6477200,22
2176,24,10,3166000,6409700,226
843,24,5,3202300,2881200,226
844,24,5,3333900,7551000,226
845,24,5,3420600,2592800,226
2177,24,10,3425100,9280800,262
846,24,5,3453700,2577500,226
2178,24,10,3530700,4725300,262
1668,24,9,3548700,10442100,226
1669,24,9,3563500,7650900,226
1262,24,6,3581100,7716600,22
1670,24,9,3657700,8755200,226
1671,24,9,3791100,5733800,227
2179,24,10,3925600,10127300,272
847,24,5,3929800,3979800,227
848,24,5,4000300,6790800,227
849,24,5,4092900,8013000,22
2180,24,10,4097500,10124700,622
1672,24,9,4245400,11329800,225
2181,24,10,4256800,10121900,225
1257,23,6,5312400,2512100,22543
2649,23,13,5582500,8661600,223
2170,23,10,5593300,6032600,223
2650,23,13,5791600,11177600,22
2651,23,13,5797500,11172000,223
1258,23,6,6200800,3657000,224343
1659,24,9,493000,1930400,2254
1660,24,9,584400,7093700,22545
1661,24,9,586600,7097900,2245
836,24,5,851200,7613700,2245
1662,24,9,1162800,3623600,2245
837,24,5,1179300,3653000,2245
1259,24,6,1197300,6784400,2245
498,24,2,1441500,243600,224
1663,24,9,1964800,5274300,2542
1260,24,6,1994500,348300,225
1664,24,9,2001700,2829300,224
838,24,5,2031000,3527000,225
1665,24,9,2092500,3456900,225
2171,24,10,2690800,7839000,225454
2172,24,10,2731200,7012700,2254
2173,24,10,2755600,3601700,2254
2174,24,10,2759100,3596100,224
1666,24,9,2880300,8934000,2254
839,24,5,2922100,10629300,2254
492,23,2,3559500,9778800,2254
2167,23,10,3564700,8819400,2254
493,23,2,3580000,7525800,2254
2168,23,10,3581500,8820500,224
831,23,5,3625500,5618000,2254
832,23,5,3694600,5615400,2254
2648,23,13,3863400,1203900,22
494,23,2,3924300,319100,2254
1657,23,9,3966700,8405900,2254
833,23,5,4035900,7589100,2254
834,23,5,4043700,7589100,2254
1249,23,6,4332400,2074400,225
1250,23,6,4501300,1527200,224
1251,23,6,4506300,810600,225
1252,23,6,4520400,1424400,225
1658,23,9,4585800,4904400,225
495,23,2,4661100,10023000,225
835,23,5,4694800,5841500,225
2169,23,10,4734300,7844000,262
1253,23,6,5133300,2901900,226
496,23,2,5224200,6662700,22
1254,23,6,5235700,235500,226
1255,23,6,5274400,2944500,226
497,23,2,5290500,6613700,227
1256,23,6,5307600,8857100,227
1243,23,6,2319100,2971500,2287
1244,23,6,2327200,2961300,228
1245,23,6,2637900,6387000,228
2163,23,10,2653600,8232600,228
1652,23,9,2675400,5832800,228
826,23,5,2685100,9231000,2298
1246,23,6,2689900,8221500,229
1653,23,9,2701900,11178000,22
1247,23,6,2723400,4297100,2276
1654,23,9,2741200,8344700,225
1248,23,6,2838400,4167500,22
487,23,2,2865100,9053000,22
2164,23,10,2904600,8114300,2244
1655,23,9,2945400,8254500,224
827,23,5,2957700,7447800,224
828,23,5,2973100,7423500,224
829,23,5,2987100,7400300,224
488,23,2,3052500,2382300,224
489,23,2,3060100,2407400,224
490,23,2,3062500,2417700,22
1656,23,9,3211900,6269100,225
491,23,2,3421600,10870700,225
830,23,5,3504700,6762600,225
2165,23,10,3541300,8506500,252
2166,23,10,3549300,8818500,226
817,23,5,910900,8319200,226
2161,23,10,1102900,106971006,22
2162,23,10,1108000,10697100,622
818,23,5,1116700,8389100,227
819,23,5,1182600,1834100,227
820,23,5,1246800,1825500,227
1236,23,6,1278300,2159300,227
1237,23,6,1282800,2228100,2278
821,23,5,1312800,10726100,228
822,23,5,1401000,9811500,2299
1238,23,6,1442200,4188300,229
823,23,5,1503300,7133900,2209
1239,23,6,1560400,655100,220
824,23,5,1609600,8498400,220
1240,23,6,1779100,5703900,223
1649,23,9,1812600,9874500,223
825,23,5,1882500,459600,223
1241,23,6,1894600,900300,2245
1650,23,9,1922400,7760400,22
2646,23,13,2038900,4602500,224
485,23,2,2075400,9440400,2234
486,23,2,2107200,357900,223
1242,23,6,2185300,6552800,22
2647,23,13,2220400,7624400,322
1651,23,9,2302200,7826300,2243
1642,22,9,5371200,10944200,224
1233,22,6,5379900,4483800,223
1643,22,9,5379900,10887900,223
2640,22,13,5422200,3286500,223
2641,22,13,5429200,3292100,2243
2160,22,10,5481900,8081600,2243
810,22,5,5500900,1001100,22
1644,22,9,5592400,3938900,2235
2642,22,13,5638000,9050100,2265
1645,22,9,6006100,9811700,226
811,22,5,6077500,9104400,2256
205,22,1,6098700,2000300,22
2643,22,13,6117900,5781500,226786887
2644,22,13,6122800,5798000,22
812,23,5,51600,10618400,228
813,23,5,54400,10107300,228
814,23,5,92500,10079600,228
815,23,5,117900,10090500,2278
1646,23,9,589600,1957200,227
1647,23,9,597700,1957200,227
1234,23,6,614200,1410800,227
1648,23,9,660300,1726500,2287
2645,23,13,751600,2064300,2287
1235,23,6,868000,10763600,228
816,23,5,908800,10554000,227878
